# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.821733355522155762e-01 2.423556447029113770e-01 1.077198743820190430e+00
1.000000000000000000e+03 1.324541517533361912e-04 1.416467566741630435e-04 2.604189701378345490e-02
2.000000000000000000e+03 2.861055545508861542e-04 2.991340297739952803e-04 3.784444928169250488e-02
3.000000000000000000e+03 2.383000946792890318e-06 3.270615707151591778e-05 1.251365151256322861e-02
4.000000000000000000e+03 9.217789624926808756e-07 2.880569627450313419e-05 1.174379605799913406e-02
5.000000000000000000e+03 1.840253105456213234e-07 2.821668385877273977e-05 1.162310782819986343e-02
6.000000000000000000e+03 4.548401477677543880e-07 2.890155337809119374e-05 1.176331937313079834e-02
7.000000000000000000e+03 2.797480078697844874e-07 2.755539935606066138e-05 1.148610096424818039e-02
8.000000000000000000e+03 1.185089104183134623e-06 2.814831532305106521e-05 1.160901784896850586e-02
9.000000000000000000e+03 9.552039159643754829e-09 2.803143979690503329e-05 1.158489100635051727e-02
1.000000000000000000e+04 4.453133861659352988e-09 2.827295429597143084e-05 1.163469161838293076e-02
1.100000000000000000e+04 2.474483729031362600e-08 2.840543129423167557e-05 1.166191883385181427e-02
1.200000000000000000e+04 1.156955568148987368e-05 3.662559902295470238e-05 1.324224658310413361e-02
1.300000000000000000e+04 6.611426961455890705e-10 2.931078415713272989e-05 1.184630673378705978e-02
1.400000000000000000e+04 6.227694484550738707e-07 3.132808342343196273e-05 1.224718336015939713e-02
1.500000000000000000e+04 2.081765302364146919e-07 3.010609361808747053e-05 1.200594939291477203e-02
1.600000000000000000e+04 1.096389024013433300e-08 3.054516491829417646e-05 1.209317985922098160e-02
1.700000000000000000e+04 3.211836485661478946e-08 3.103991912212222815e-05 1.219072658568620682e-02
1.800000000000000000e+04 8.774467801231367048e-07 3.325854413560591638e-05 1.261888258159160614e-02
1.900000000000000000e+04 3.324078363675653236e-07 3.158607069053687155e-05 1.229750737547874451e-02
2.000000000000000000e+04 5.250343715346161844e-09 3.180662679369561374e-05 1.234036777168512344e-02
2.100000000000000000e+04 6.600536380574340001e-06 4.011083728983066976e-05 1.385798677802085876e-02
2.200000000000000000e+04 2.862200858544383664e-07 3.243374885641969740e-05 1.246142946183681488e-02
2.300000000000000000e+04 9.424083486919698771e-07 3.259921504650264978e-05 1.249317638576030731e-02
2.400000000000000000e+04 1.594243940417072736e-06 3.547983578755520284e-05 1.303347107023000717e-02
2.500000000000000000e+04 1.409357173542957753e-05 4.558261935017071664e-05 1.477300841361284256e-02
2.600000000000000000e+04 3.638280787754410994e-09 3.382800059625878930e-05 1.272645499557256699e-02
2.700000000000000000e+04 2.538532939411197731e-09 3.409561031730845571e-05 1.277669426053762436e-02
2.800000000000000000e+04 3.237580017412255984e-07 3.421348083065822721e-05 1.279876101762056351e-02
2.900000000000000000e+04 4.894667426924570464e-08 3.468833165243268013e-05 1.288727298378944397e-02
3.000000000000000000e+04 3.610506738027652318e-08 3.488635047688148916e-05 1.292400248348712921e-02
3.100000000000000000e+04 8.607082236267160624e-06 4.258246917743235826e-05 1.427857019007205963e-02
3.200000000000000000e+04 1.467295902557452791e-07 3.622529402491636574e-05 1.316967979073524475e-02
3.300000000000000000e+04 9.254961810256645549e-07 3.636792098404839635e-05 1.319558173418045044e-02
3.400000000000000000e+04 1.566617129356018268e-06 3.702925459947437048e-05 1.331501826643943787e-02
3.500000000000000000e+04 7.004316016079314977e-10 3.666976044769398868e-05 1.325022708624601364e-02
3.600000000000000000e+04 1.155857626145007089e-05 4.737634662888012826e-05 1.506086997687816620e-02
3.700000000000000000e+04 8.763746173201525380e-09 3.739634848898276687e-05 1.338085625320672989e-02
3.800000000000000000e+04 1.851548745435138699e-06 4.016390812466852367e-05 1.386715192347764969e-02
3.900000000000000000e+04 1.898013124446151778e-07 3.768988972296938300e-05 1.343327015638351440e-02
4.000000000000000000e+04 6.229292921489104629e-07 3.810829002759419382e-05 1.350762508809566498e-02
4.100000000000000000e+04 6.669684808002784848e-06 4.794141204911284149e-05 1.515042036771774292e-02
4.200000000000000000e+04 8.613058525952510536e-06 4.679329504142515361e-05 1.496790815144777298e-02
4.300000000000000000e+04 2.586259917336519720e-08 3.918547736248001456e-05 1.369720324873924255e-02
4.400000000000000000e+04 8.160323972106198198e-08 3.962214032071642578e-05 1.377330720424652100e-02
4.500000000000000000e+04 2.746745337844913593e-07 3.956436557928100228e-05 1.376326195895671844e-02
4.600000000000000000e+04 1.639138099562842399e-05 5.285116276354528964e-05 1.590730436146259308e-02
4.700000000000000000e+04 2.012488231617481915e-10 4.048522532684728503e-05 1.392251159995794296e-02
4.800000000000000000e+04 6.994976153862353385e-09 4.086520857526920736e-05 1.398769393563270569e-02
4.900000000000000000e+04 1.914799980795578449e-07 4.125358827877789736e-05 1.405400689691305161e-02
5.000000000000000000e+04 7.430395498886355199e-08 4.138234362471848726e-05 1.407592091709375381e-02
